nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
42,42,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,7.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,42.0,0.0,1
35,35,0,0,0,0,2,776.5,776.5,42.683657519200004,0.0,1,48.0,32.60928,117.34479999999999,0,1,0,35,61,52,5,1,1.0,1.5358000000000003,0.40590000000000004,1,62,1.0,0,6.7143,10.26668,1,0.8524590163934426,0.0,35.0,0.0,0
382,311,0,10,1,3,16,41043.75,111.25,33.33333333,71.0,32,15.625,44.4444,35.1563,7,15,28,470,145,112,9,0,0.9194342069999999,0.1564,0.0503,0,0,0.922023821,0,6.7143,13.933359999999999,1,0.7724137931034483,0.03125,5.380281690140845,0.0,0
12,12,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,3.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,12.0,0.0,0
20,14,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,6.0,2,1.5714,29.834703448275864,56.718513793103455,1,0,1,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,3.3333333333333335,0.0,0
42,42,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,7.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,42.0,0.0,1
381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,6.7143,13.933359999999999,0,0.8,0.05454545454545454,1.3462897526501767,0.0,1
35,35,0,0,0,0,2,776.5,776.5,42.683657519200004,0.0,1,48.0,32.60928,117.34479999999999,0,1,0,35,61,52,5,1,1.0,1.5358000000000003,0.40590000000000004,1,62,1.0,0,6.7143,10.26668,1,0.8524590163934426,0.0,35.0,0.0,0
6,2,0,0,0,0,2,14695.0,14695.0,78.127950314,4.0,4,31.0,24.4444,51.0909,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,6.7143,13.73336,0,0.5769230769230769,0.0,1.5,0.0,0
13,13,0,0,0,0,2,952.0,952.0,57.0581748932,0.0,1,57.0,32.60928,117.34479999999999,0,1,0,46,59,51,4,1,1.0,1.8371400000000002,0.5899,1,62,1.0,0,6.7143,10.26668,0,0.864406779661017,0.0,13.0,0.0,0
360,265,0,1,3,0,6,72.0,55.0,42.683657519200004,342.0,48,11.9213,13.9942,85.1875,9,16,27,150,18,6,0,0,0.0,1.2784,0.2981,1,48,0.0,0,6.7143,10.26668,0,0.3333333333333333,0.0625,1.0526315789473684,0.0,1
15,1,0,0,0,0,2,902.0,902.0,57.0581748932,18.0,6,15.3158,32.60928,117.34479999999999,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,6.7143,10.26668,0,0.7833333333333333,0.0,0.8333333333333334,0.0,0
12,0,0,0,0,0,2,131278.5,131278.5,80.80722892,12.0,3,9.0769,19.3662,37.3273,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,6.7143,13.73336,0,0.6896551724137931,0.0,1.0,0.0,0
7,7,0,0,0,0,2,682.5,682.5,42.683657519200004,0.0,1,111.0,32.60928,117.34479999999999,0,1,0,52,20,19,1,0,0.985915493,1.5358000000000003,0.40590000000000004,8,15,0.9875,0,6.7143,10.26668,0,0.95,0.0,7.0,0.0,0
47,47,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,5.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,47.0,0.0,1
42,42,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,7.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,42.0,0.0,1
6,6,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,31.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,6.0,0.0,0
15,15,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,13.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,15.0,0.0,0
27,11,0,0,0,0,0,952.7428400000001,945.28,57.0581748932,27.0,3,2.3571,53.71924,101.9698,0,0,0,0,0,0,0,0,0.9058547820000001,1.27068,0.34068,0,0,0.849266476,6,6.7143,6.0,0,0.0,0.0,1.0,2.0,0
18,18,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,9.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,18.0,0.0,0
